"valA";"valB";"valC";"valD";"dateA";"dtA";"dtB";"dtC";"dtD";"dtE";"dtF";"dateB";"dtG";"dtH";"dtI";"dtJ";"valE";"valF";"valG";"valH";"valI";"valJ";"valH";"valI";"valJ";"valK";"valL";"valM";"valN";"valO";"calc_DtBmDtA";"calc_DtCmDtB";"calc_DtDmDtC";"calc_DtFmDtD";"calc_DtHmDtG";"calc_DtImDtG";"calc_DtJmDtG";"calc_DtImDtH";"calc_DtJmDtI"
945.2;3473.7;958.5;1351.9;"1980-02-11";"1980-02-11 08:55:00";"1980-02-11 09:25:00";"1980-02-11 10:25:00";"1980-02-11 11:00:00";"1980-02-11 09:30:00";"1980-02-11 13:20:00";"1980-02-17";"1980-02-17 13:40:00";"1980-02-17 14:00:00";"1980-02-17 14:30:00";"1980-02-17 18:00:00";64.0;21.7;3329.0;33.4;1.6;6.7;25.8;6.0;2050.5;72.3;78.9;80.8;29.9;29.5;30;60;35;140;20;50;260;30;210
931.0;3273.7;1051.5;1481.9;"1980-02-12";"1980-02-12 06:30:00";"1980-02-12 07:00:00";"1980-02-12 08:00:00";"1980-02-12 08:30:00";"1980-02-12 07:15:00";"1980-02-12 11:15:00";"1980-02-18";"1980-02-18 13:40:00";"1980-02-18 14:05:00";"1980-02-18 14:35:00";"1980-02-18 17:30:00";64.7;21.4;3131.2;34.8;1.6;6.7;25.5;6.1;2207.5;72.5;80.2;81.3;32.0;29.5;30;60;30;165;25;55;230;30;175
980.4;3473.7;930.3;1331.9;"1980-02-16";"1980-02-16 07:50:00";"1980-02-16 08:20:00";"1980-02-16 09:20:00";"1980-02-16 10:25:00";"1980-02-16 08:30:00";"1980-02-16 12:50:00";"1980-02-23";"1980-02-23 05:50:00";"1980-02-23 12:45:00";"1980-02-23 13:15:00";"1980-02-23 16:40:00";64.5;22.9;3324.7;34.5;1.6;6.8;27.5;6.0;1957.5;71.2;80.4;80.8;31.7;29.5;30;60;65;145;415;445;650;30;205
886.0;3273.7;916.2;1290.9;"1980-02-17";"1980-02-17 05:35:00";"1980-02-17 08:45:00";"1980-02-17 09:45:00";"1980-02-17 10:15:00";"1980-02-17 13:16:00";"1980-02-17 18:30:00";"1980-02-24";"1980-02-24 08:20:00";"1980-02-24 09:10:00";"1980-02-24 09:40:00";"1980-02-24 12:45:00";64.8;21.1;3136.6;33.3;1.5;6.8;25.7;6.1;2157.5;72.3;80.3;81.3;31.9;29.5;190;60;30;495;50;80;265;30;185
949.9;3358.7;993.8;1406.9;"1980-02-17";"1980-02-17 09:10:00";"1980-02-17 09:40:00";"1980-02-17 10:40:00";"1980-02-17 11:10:00";"1980-02-17 07:40:00";"1980-02-17 11:45:00";"1980-02-29";"1980-02-29 13:15:00";"1980-02-29 13:30:00";"1980-02-29 14:00:00";"1980-02-29 17:05:00";64.9;22.3;3213.7;34.6;1.6;6.7;25.2;6.1;2050.5;72.1;80.6;80.8;32.3;29.5;30;60;30;35;15;45;230;30;185
1050.9;3463.7;936.2;1306.9;"1980-02-19";"1980-02-19 08:23:00";"1980-02-19 08:50:00";"1980-02-19 09:50:00";"1980-02-19 10:10:00";"1980-02-19 17:00:00";"1980-02-19 21:40:00";"1980-02-25";"1980-02-25 06:15:00";"1980-02-25 06:40:00";"1980-02-25 07:20:00";"1980-02-25 10:48:00";64.3;23.2;3305.9;36.8;1.7;6.8;25.7;6.1;2088.5;73.0;80.5;82.1;32.3;29.5;27;60;20;690;25;65;273;40;208
1017.8;3418.7;990.3;1391.9;"1980-02-19";"1980-02-19 06:30:00";"1980-02-19 06:55:00";"1980-02-19 07:55:00";"1980-02-19 08:25:00";"1980-02-19 14:35:00";"1980-02-19 18:45:00";"1980-02-26";"1980-02-26 05:50:00";"1980-02-26 06:30:00";"1980-02-26 07:00:00";"1980-02-26 10:38:00";63.0;20.8;3265.2;36.2;1.7;6.7;26.7;6.0;2027.5;72.6;80.2;81.3;31.7;29.5;25;60;30;620;40;70;288;30;218
987.9;3392.7;934.0;1325.9;"1980-02-23";"1980-02-23 15:20:00";"1980-02-23 15:46:00";"1980-02-23 16:46:00";"1980-02-23 17:20:00";"1980-02-23 13:55:00";"1980-02-23 18:25:00";"1980-03-01";"1980-03-01 06:10:00";"1980-03-01 06:38:00";"1980-03-01 07:27:00";"1980-03-01 10:46:00";68.1;22.1;3242.9;35.5;1.6;6.7;25.7;6.0;2117.5;71.8;80.5;81.4;32.3;29.3;26;60;34;65;28;77;276;49;199
1003.9;3520.7;1016.0;1434.9;"1980-02-25";"1980-02-25 08:37:00";"1980-02-25 09:05:00";"1980-02-25 10:05:00";"1980-02-25 10:30:00";"1980-02-25 07:05:00";"1980-02-25 11:20:00";"1980-03-02";"1980-03-02 13:00:00";"1980-03-02 13:20:00";"1980-03-02 13:45:00";"1980-03-02 17:05:00";79.7;22.1;3368.7;34.8;1.7;6.7;25.2;6.1;2007.5;72.3;80.4;81.2;30.3;29.5;28;60;25;50;20;45;245;25;200
948.4;3374.7;964.8;1362.9;"1980-02-25";"1980-02-25 14:15:00";"1980-02-25 14:40:00";"1980-02-25 15:40:00";"1980-02-25 16:20:00";"1980-02-25 13:30:00";"1980-02-25 17:35:00";"1980-03-03";"1980-03-03 05:30:00";"1980-03-03 06:03:00";"1980-03-03 06:35:00";"1980-03-03 10:06:00";67.5;20.3;3229.8;34.4;1.6;6.8;26.6;6.0;2013.5;72.2;80.4;81.3;32.3;29.5;25;60;40;75;33;65;276;32;211
